Facility Name,Facility ID,Unit ID
Barry,3,1
Barry,3,2
Barry,3,4
Barry,3,5
Barry,3,6A
Barry,3,6B
Barry,3,7A
Barry,3,7B
Barry,3,8
Copper Station,9,CTG-1
Greene County,10,1
Greene County,10,2
Greene County,10,CT10
Greene County,10,CT2
Greene County,10,CT3
Greene County,10,CT4
Greene County,10,CT5
Greene County,10,CT6
Greene County,10,CT7
Greene County,10,CT8
Greene County,10,CT9
E C Gaston,26,1
E C Gaston,26,2
E C Gaston,26,3
E C Gaston,26,4
E C Gaston,26,5
Colbert,47,CCT1
Colbert,47,CCT10
Colbert,47,CCT11
Colbert,47,CCT2
Colbert,47,CCT3
Colbert,47,CCT4
Colbert,47,CCT5
Colbert,47,CCT6
Colbert,47,CCT7
Colbert,47,CCT8
Colbert,47,CCT9
Smith Generating Facility,54,SCT1
Smith Generating Facility,54,SCT10
Smith Generating Facility,54,SCT2
Smith Generating Facility,54,SCT3
Smith Generating Facility,54,SCT4
Smith Generating Facility,54,SCT5
Smith Generating Facility,54,SCT6
Smith Generating Facility,54,SCT7
Smith Generating Facility,54,SCT9
Charles R Lowman,56,CC1
Platte,59,1
Gerald Whelan Energy Center,60,1
Gerald Whelan Energy Center,60,2
Holcomb,108,SGU1
Cholla,113,1
Cholla,113,3
Ocotillo Power Plant,116,GT3
Ocotillo Power Plant,116,GT4
Ocotillo Power Plant,116,GT5
Ocotillo Power Plant,116,GT6
Ocotillo Power Plant,116,GT7
APS West Phoenix Power Plant,117,CC4
APS West Phoenix Power Plant,117,CC5A
APS West Phoenix Power Plant,117,CC5B
APS Saguaro Power Plant,118,CT3
Yucca Power Plant,120,1
Yucca Power Plant,120,CT5
Yucca Power Plant,120,CT6
De Moss Petrie Generating Station,124,GT1
Irvington Generating Station,126,3
Irvington Generating Station,126,4
Cross,130,1
Cross,130,2
Cross,130,3
Cross,130,4
Seminole (136),136,2
Seminole (136),136,CT1
Seminole (136),136,CT2
Agua Fria Generating Station,141,1
Agua Fria Generating Station,141,2
Agua Fria Generating Station,141,3
Agua Fria Generating Station,141,7
Agua Fria Generating Station,141,8
Kyrene Generating Station,147,K-7
Apache Station,160,1
Apache Station,160,2
Apache Station,160,3
Apache Station,160,4
Grand River Dam Authority,165,1
Grand River Dam Authority,165,2
Grand River Dam Authority,165,3
Lake Catherine,170,4
Thomas Fitzhugh,201,2
Carl Bailey,202,01
McClellan,203,01
Moss Landing Power Plant,260,1A
Moss Landing Power Plant,260,2A
Moss Landing Power Plant,260,3A
Moss Landing Power Plant,260,4A
Limestone,298,LIM1
Limestone,298,LIM2
Cabrillo Power I Encina Power Station,302,10
Cabrillo Power I Encina Power Station,302,6
Cabrillo Power I Encina Power Station,302,7
Cabrillo Power I Encina Power Station,302,8
Cabrillo Power I Encina Power Station,302,9
AES Alamitos,315,3
AES Alamitos,315,4
